Date,Open,High,Low,Close,Adj Close,Volume
2019-12-18,2.010000,2.060000,2.000000,2.010000,2.010000,176989
2019-12-19,2.000000,2.060000,2.000000,2.020000,2.020000,141048
2019-12-20,2.000000,2.030000,1.960000,1.980000,1.980000,718195
2019-12-23,1.990000,2.090000,1.960000,2.040000,2.040000,622686
2019-12-24,2.050000,2.050000,1.970000,1.970000,1.970000,326039
2019-12-26,1.970000,2.000000,1.970000,1.980000,1.980000,441508
2019-12-27,2.000000,2.090000,1.970000,1.970000,1.970000,422248
2019-12-30,2.000000,2.040000,1.970000,2.030000,2.030000,216338
2019-12-31,2.000000,2.050000,1.970000,1.990000,1.990000,328976
2020-01-01,1.990000,2.040000,1.970000,2.010000,2.010000,302171
2020-01-02,2.000000,2.130000,1.990000,2.100000,2.100000,316862
2020-01-03,2.150000,2.440000,2.050000,2.280000,2.280000,1976284
2020-01-06,2.300000,2.310000,2.110000,2.150000,2.150000,926214
2020-01-07,2.200000,2.350000,2.150000,2.280000,2.280000,1203094
2020-01-08,2.180000,2.730000,2.170000,2.720000,2.720000,4292646
2020-01-09,2.870000,2.940000,2.450000,2.550000,2.550000,1297241
2020-01-10,2.680000,2.680000,2.350000,2.390000,2.390000,402396
2020-01-13,2.600000,2.600000,2.420000,2.480000,2.480000,409267
2020-01-14,2.590000,2.600000,2.490000,2.550000,2.550000,124339
2020-01-15,2.560000,2.560000,2.400000,2.440000,2.440000,159020
2020-01-16,2.600000,2.600000,2.340000,2.370000,2.370000,233380
2020-01-17,2.280000,2.400000,2.280000,2.360000,2.360000,143121
2020-01-20,2.370000,2.600000,2.360000,2.490000,2.490000,462272
2020-01-21,2.600000,2.600000,2.450000,2.490000,2.490000,265640
2020-01-22,2.570000,2.570000,2.400000,2.420000,2.420000,176402
2020-01-23,2.460000,2.560000,2.390000,2.470000,2.470000,291182
2020-01-24,2.580000,2.580000,2.400000,2.450000,2.450000,338291
2020-01-27,2.410000,2.470000,2.310000,2.320000,2.320000,549050
2020-01-28,2.350000,2.380000,2.270000,2.280000,2.280000,404205
2020-01-29,2.560000,2.560000,2.250000,2.270000,2.270000,340317
2020-01-30,2.150000,2.350000,2.150000,2.270000,2.270000,226751
2020-01-31,2.300000,2.330000,2.250000,2.250000,2.250000,335042
2020-02-03,2.340000,2.340000,2.080000,2.170000,2.170000,195656
2020-02-04,2.140000,2.390000,2.100000,2.330000,2.330000,280334
2020-02-05,2.440000,2.440000,2.170000,2.220000,2.220000,199986
2020-02-06,2.300000,2.300000,2.160000,2.190000,2.190000,203393
2020-02-07,2.340000,2.460000,2.180000,2.300000,2.300000,380011
2020-02-10,2.500000,2.500000,2.010000,2.230000,2.230000,418279
2020-02-11,2.250000,2.260000,2.180000,2.200000,2.200000,132680
2020-02-12,2.280000,2.280000,2.160000,2.180000,2.180000,169864
2020-02-13,2.210000,2.210000,2.160000,2.160000,2.160000,143981
2020-02-14,2.200000,2.200000,2.060000,2.080000,2.080000,564474
2020-02-17,2.150000,2.150000,2.040000,2.090000,2.090000,414098
2020-02-18,2.120000,2.120000,2.000000,2.030000,2.030000,364660
2020-02-19,2.130000,2.130000,2.020000,2.030000,2.030000,390223
2020-02-20,2.080000,2.240000,2.000000,2.160000,2.160000,606833
2020-02-24,2.160000,2.200000,2.090000,2.130000,2.130000,142460
2020-02-25,2.160000,2.190000,2.100000,2.120000,2.120000,378780
2020-02-26,2.140000,2.140000,2.040000,2.050000,2.050000,352718
2020-02-27,2.100000,2.100000,1.980000,1.990000,1.990000,606227
2020-02-28,2.000000,2.000000,1.900000,1.940000,1.940000,606889
